Part Number ,Description ,Type,Supplier name ,UOM ,,
PACK000475,2P Chipotle Chicken with Charred Corn & Brown Rice Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000476,2P Thai Green Chicken Curry with Black Rice Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000477,2P Chicken Tikka Masala with Brown Rice Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000478,2P Fish Pie Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000479,2P Lamb Shepherds Pie with Rustic Sweet Pot Mash Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000480,2P Sweet and Sour Tofu Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000481,Pesto Salmon Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000494,Teriyaki Salmon with Pickle & Steam Veg Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000496,Mexican Barbacoa Style Beef Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000497,Veggie Lasagne Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000498,Cashew Satay Chicken with Black Rice Sleeve MC,PACK,Jump Design and Print Limited,Each,,
ING001333,Rose Water 12x450ml KTC,AMBIENT,KTC,Ltr,,
ING000515,Cannelloni Spiach & Ricotta Frozen (1x3KG),FROZEN,LA TUA PASTA,Kg,,
ING002042,Pasta Tortellini Pumpkin 3 kg,FROZEN,LA TUA PASTA,Kg,,
ING002195,Ravioli Pumpkin & Sage/ Durum Wheat Pasta Frozen 3Kg,FROZEN,LA TUA PASTA,Kg,,
ING001318,Ravioli Mixed Vegetables 3kg,AMBIENT,LA TUA PASTA,,,
ING001957,Rice Black 25kg,AMBIENT,Leathams Plc,Kg,,
ING002060,Quinoa White 25kg,AMBIENT,Leathams Plc,Kg,,
ING002131,Rice Red 25kg,AMBIENT,Leathams Plc,Kg,,
ING002406,Tomato Sundried no Oil MGC Pet Jar kg,FRESH,Leathams Plc,Kg,,
ING000253,Seed Sesame White (1x1000GR),AMBIENT,Lebanos Food Trading Ltd,Kg,,
ING001926,Pasta Rigatoni 1x12kg,AMBIENT,Lupa Foods Ltd (Donatantonio),Kg,,
ING002033,Pasta Conchiglie Shell 5kg,AMBIENT,Lupa Foods Ltd (Donatantonio),Kg,,
ING002348,Beans Black in water 6 x 2.62,AMBIENT,Lupa Foods Ltd (Donatantonio),Kg,,
ING000242,Juice Lemon Sicilian 20kg,AMBIENT,Lupa Foods Ltd (Donatantonio),Ltr,,
ING002483,Vinegar Red Wine 25Ltr,AMBIENT,Lupa Foods Ltd (Donatantonio),Ltr,,
PACK000012,Label  Multipurpose WHITE VAA Outer 105mmx148mm 400Ea,PACK,Lyreco UK Ltd,Each,,
ING002395,Bouillion Chicken Vegan Stock Powder 4kg,AMBIENT,Major International Ltd,Kg,,
ING001807,Cauldron Vegan Sausage 8 x 300g,MEAT,Marlow Foods Limited,Kg,,
ING000012,Beef Chuck Diced 15-20mm Halal 1KG,MEAT,Middlesex Meat Co.,Kg,,
ING000326,Beef Chuck Diced 15-20mm Halal UK RT,MEAT,Middlesex Meat Co.,Kg,,
ING002553,Beef Chuck Diced 10mm BRITISH kg,MEAT,Middlesex Meat Co.,Kg,,
ING000469,Sausage Pork & Parsley 16pcs=1kg 2.57kg,FROZEN,Middlesex Meat Co.,Kg,,
ING000344,Chorizo Diced 10mm,MEAT,Middlesex Meat Co.,Kg,,
ING001936,Black Pudding 1.36 kg Each,MEAT,Middlesex Meat Co.,Kg,,
ING000920,Pork Mince 90%VL,MEAT,Middlesex Meat Co.,Kg,,
ING001447,"Pigs in Blankets,1EA (50 Cs)",MEAT,Middlesex Meat Co.,Each,,
ING001803,Bacon Back Rindless Smoked,MEAT,Middlesex Meat Co.,Kg,,
ING001697,Chicken Roast Slice 25gm 500gm Each,MEAT,Middlesex Meat Co.,,,
ING001239,"Sausage Cumberland 8' s (48), 2.7kg",MEAT,Middlesex Meat Co.,Kg,,
ING000093,Chicken sausages 48ea,FROZEN,Middlesex Meat Co.,,,
ING002075,Chicken Breast Pieces 70gm-80gm Halal,AMBIENT,Middlesex Meat Co.,,,
ING002700,Pork Old Victorian sausage 6’s (2.70kg) 36 c/s,AMBIENT,Middlesex Meat Co.,,,
ING002701,Cumberland 6s (2.70 kg) 36 c/s,AMBIENT,Middlesex Meat Co.,,,
ING000222,Water,,none,,,
ING001103,Croissant Eggless 45gm,FROZEN,norac,Each,,
ING002428,Croissant Eggless 65gm,FROZEN,norac,Each,,
ING001740,Croissant in Oven Bag (OB) x 6ea,AMBIENT,norac,,,
ING002327,Chicken Fillet Diced 15-20mm UK Free Range,FRESH,Norfolk,Kg,,
PACK000082,350415 - Virgin frozen breakfast aluminium foils,PACK,Novelis Deutschland GmbH,Case,,
PACK000083,350409 - Virgin frozen breakfast aluminium lids,PACK,Novelis Deutschland GmbH,Case,,
ING002466,Cod Diced 35-40mm kg 16kg c/s,FRESH,Ocean Fish,Kg,,
ING002418,Fish Pie Mix Cod/Coley/Salmon MC 16kg,FROZEN,Ocean Fish,Kg,,
ING001445,"Roast Onion Stock Base, Major",Ambient,online,,,
ING000026,Coriander Chopped 15mm IQF,FROZEN,Pacific Seafood Ltd,Kg,,
ING000162,Onion Diced 10mm  FRZ,FROZEN,Pacific Seafood Ltd,Kg,,
ING000202,Spinach Chopped FRZ,FROZEN,Pacific Seafood Ltd,Kg,,
ING000221,Rosemary Fine FZN,FROZEN,Pacific Seafood Ltd,Kg,,
ING000671,Leeks Diced 6mm IQF,FROZEN,Pacific Seafood Ltd,Kg,,
ING000696,Chives Chopped IQF,FROZEN,Pacific Seafood Ltd,Kg,,
ING000757,Oregano FRZ KG,FROZEN,Pacific Seafood Ltd,Kg,,
ING000963,Sweetcorn FRZ 1kg,FROZEN,Pacific Seafood Ltd,Kg,,
ING001077,Parsley 3mm FZN,FROZEN,Pacific Seafood Ltd,Kg,,
ING001127,Basil Chopped IQF 1kg,FROZEN,Pacific Seafood Ltd,Kg,,
ING001442,Pepper Red Diced 10mm FRZ,FROZEN,Pacific Seafood Ltd,Kg,,
ING001461,Mint 3mm FRZ1kg,FROZEN,Pacific Seafood Ltd,Kg,,
ING001530,Pepper Red Diced 20-25 mm IQF,FROZEN,Pacific Seafood Ltd,Kg,,
ing001762,Beans Green Cut 10-15mm FRZ 10kg,FROZEN,Pacific Seafood Ltd,Kg,,
ING001775,Onion Sliced White 5-7mm FRZ,FROZEN,Pacific Seafood Ltd,Kg,,
ING001896,Bean Green Half Baton 25mm FRZ,FROZEN,Pacific Seafood Ltd,Kg,,
ING001898,Cauliflower Florets 20/40 FRZ,FROZEN,Pacific Seafood Ltd,Kg,,
ING002040,Spinach Leaf Portions 10/20 IQF 10kg,FROZEN,Pacific Seafood Ltd,Kg,,
ING002081,Spring Onion Sliced 4mm IQF,FROZEN,Pacific Seafood Ltd,Kg,,
ING002397,Pepper Yellow Diced 20mm IQF 10kg,FROZEN,Pacific Seafood Ltd,Kg,,
ING002409,Sweetcorn Baby Cut 15-40mm IQF 10kg,FROZEN,Pacific Seafood Ltd,Kg,,
ING002545,Bamboo Shoots IQF 10 kg,FROZEN,Pacific Seafood Ltd,Kg,,
ING002098,Tomato Chopped 14mm 20kg,AMBIENT,Pacific Seafood Ltd,Kg,,
ING002339,Mushroom Sliced IQF,FROZEN,Pacific Seafood Ltd,Kg,,
ING001478,Karela (Bitter Gourd) Sliced 12x315gm,FROZEN,Pacific Seafood Ltd,Kg,,
ING000636,Rice Basmati Golden Sella Veetee 20kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000163,Parsley Flat 3MM FRZ 1KG DO NOT USE,FROZEN,Pacific Seafood Ltd,Kg,,
ING002036,Pepper Green Sliced FRZ,FROZEN,Pacific Seafood Ltd,Kg,,
ING002065,Broccoli Floret 20/40mm FRZ kg,FROZEN,Pacific Seafood Ltd,Kg,,
ING000461,Pepper Yellow Diced 10MM IQF (1x1KG),FROZEN,Pacific Seafood Ltd,Kg,,
ING002664,Salmon filet whole skin off pin boned,FROZEN,Pacific Seafood Ltd,,,
ING002041,Prawn King 21/25 brand RPD CUTDeveined  IQF,FROZEN,Pacific Seafood Ltd,,,
ING001705,Bread K Roll Eggless Fresh A I 100 x 40gm,FROZEN,Panificio Italiano,Each,,
ING001682,Bread Herb Roll Eggless 40gm,FROZEN,Panificio Italiano,Each,,
ING000237,Seeds Coriander 3x5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000238,Spice Cumin Ground 10x1kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000240,Spice Star Aniseed Whole 1kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000241,Spice Cloves Whole 10x1kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000264,Coconut Dessicated 3x5kg,AMBIENT,PK Trading Ltd,Kg,,
ING000288,Spice Cardamom Ground 10x1kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000290,Spice Cinnamon Dalchini Sticks 10x1kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000293,Herb Mixed Dried,AMBIENT,PK Trading Ltd,Kg,,
ING000497,Spice Chilli Kashmiri Whole 3 x 5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000498,Spice Chilli Powder 3x5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000593,Spice Fennel Powder 1kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000705,Spice Garam Masala 3x5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000723,Spice Coriander Ground 3x5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000749,Spice Cumin Whole 6 x1 kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000755,Seeds Mustard Black 3x5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000758,Spice Paprika Ground Spanish 10x1kg,AMBIENT,PK Trading Ltd,Kg,,
ING000759,Spice Pepper Black Cracked 12 Mesh 10 x 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING000760,Spice Pepper Black Ground 10 x 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING000761,Spice Pepper White Ground 10 x 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING000767,Spice Cardamom Green Whole 5kg,AMBIENT,PK Trading Ltd,Kg,,
ING000887,Spice Asafoetida 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING000962,Spice Cloves Ground 10x1kg,AMBIENT,PK Trading Ltd,Kg,,
ING000964,Spice Chilli Powder Kashmiri 3x5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000985,Seeds Onion Black  1x10kg,AMBIENT,PK Trading Ltd,Kg,,
ING000986,Spice Cinnamon Ground 10x1kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING001300,Chilli Red Flakes 2-3mm 10 x 1KG,AMBIENT,PK Trading Ltd,Kg,,
ING001302,Seeds Fennel 10x1kg,AMBIENT,PK Trading Ltd,Kg,,
ING001327,Spice Mace Ground,AMBIENT,PK Trading Ltd,Kg,,
ING001341,Spice Pepper Black Whole 10 x 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING001519,Spice Ginger Ground 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING001843,Spice Curry Leaves Dry 2.5kg,AMBIENT,PK Trading Ltd,Kg,,
ING001959,Spice Turmeric Ground 3x5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING002129,Herb Oregano Dried KG,AMBIENT,PK Trading Ltd,Kg,,
ING002379,Spice Aromat Seasoning Powder SYMEGA,AMBIENT,PK Trading Ltd,Kg,,
ING002410,Spice Tikka Masala Blend 10kg,AMBIENT,PK Trading Ltd,Kg,,
ING000888,Spice Curry Powder Mild,AMBIENT,Gandhi Oriental foods,Kg,,
ING001275,Spice Nutmeg Ground kg,AMBIENT,PK Trading Ltd,Kg,,
ING001754,Nut Cashew Broken 5kg,AMBIENT,PK Trading Ltd,Kg,,
ING001980,Methi Leaves Frz 12 x 300gm,FROZEN,PK Trading Ltd,Kg,,
ING001844,Spice Mustard Powder English 57gm,AMBIENT,PK Trading Ltd,Kg,,
ING002145,Pepper Red Bell Flakes 10kg,AMBIENT,PK Trading Ltd,Kg,,
ING000514,Lentil Toor Dal,AMBIENT,Gandhi Oriental foods,Kg,,
ING000660,Butter Ghee 4 x 2kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000717,Lentil Urid Dal Black Whole KTC 4x2kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000786,Paste Tamarind 20 x 200gm KTC,AMBIENT,Gandhi Oriental foods,Kg,,
ING001339,Lentil Chana Dal Yellow Split KTC 4x2kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING001955,Spice Coriander Ground KTC 3x5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING001834,Paprika Extract kg,AMBIENT,PK Trading Ltd,Kg,,
ING001988,Jack Fruit Young Green Tinned 6x2.9kg,AMBIENT,PK Trading Ltd,Kg,,
ING002421,Paste Tomato Aseptic 20kg,AMBIENT,PK Trading Ltd,Kg,,
ING002443,Apricots Diced Dried 10mm,AMBIENT,Gandhi Oriental foods,Kg,,
ING000158,Herb Fenugreek Methi Leaves TRS x kg,AMBIENT,PK Trading Ltd,Kg,,
ING000161,Puree Garlic 6 x1kg,AMBIENT,PK Trading Ltd,Kg,,
ING000244,Vinegar Balsamic 2 x 5ltr,AMBIENT,PK Trading Ltd,Ltr,,
ING000251,Oil Pomace 4 x 5ltr,AMBIENT,PK Trading Ltd,Ltr,,
ING000252,Spice Turmeric Ground 1KG,AMBIENT,Gandhi Oriental foods,Kg,,
ING000255,Bicarbonate of soda 5kg,AMBIENT,PK Trading Ltd,Kg,,
ING000287,Herb Bay Leaves Ground 6xkg,AMBIENT,PK Trading Ltd,Kg,,
ING000302,Rice Basmati Brown Tilda 20kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000308,Milk Coconut Surree 6x3 ltr,AMBIENT,PK Trading Ltd,Ltr,,
ING000530,Rice Wild 10x800gm,AMBIENT,PK Trading Ltd,Kg,,
ING000566,Tomato Puree 3x4.5kg,AMBIENT,PK Trading Ltd,Kg,,
ING000594,Spice Chat Masala Chunky 10 x 100gm,AMBIENT,PK Trading Ltd,Kg,,
ING000704,Spice Curry Powder Madras 1KG,AMBIENT,PK Trading Ltd,Kg,,
ING000744,Spice All Spice Ground kg,AMBIENT,PK Trading Ltd,Kg,,
ING000745,Pepper Cayenne KG,AMBIENT,PK Trading Ltd,Kg,,
ING000754,Mint Dried 500g (1x500GR),AMBIENT,PK Trading Ltd,Kg,,
ING000868,Noodle Vermicelli Rice Stick 4 x 3kg,AMBIENT,PK Trading Ltd,Kg,,
ING000879,Juice Lemon Concentrate 4x4lt,AMBIENT,PK Trading Ltd,Ltr,,
ING000901,Paste Thai Yellow Curry Mae Ploy 12 x 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING001070,Saffron ( 6x 4GM),AMBIENT,PK Trading Ltd,Kg,,
ING001078,Smoked Paprika Hot 1 kg,AMBIENT,PK Trading Ltd,Kg,,
ING001141,Sauce Soya Tamari Kikkoman Gluten Free 1ltr,AMBIENT,PK Trading Ltd,Kg,,
ING001247,Pasta Vermicelli Filiz (Tel Sehriye) 10x500gm,AMBIENT,PK Trading Ltd,Kg,,
ING001264,Seeds Cumin Whole 1 kg,AMBIENT,PK Trading Ltd,Kg,,
ING001286,Quinoa Red 25KG,AMBIENT,Gandhi Oriental foods,Kg,,
ING001334,Onion Dried Fried Koshari 2 x 2.5 kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING001384,Vinegar Apple Cider Aspell 5Ltr,AMBIENT,PK Trading Ltd,Kg,,
ING001404,Spice Fenugreek Powder 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING001751,Paste Panang Curry Mae Ploy 12x1kg,AMBIENT,PK Trading Ltd,Kg,,
ing001752,Paste Harissa 24 x 380gm,AMBIENT,PK Trading Ltd,Kg,,
ING001835,Herb Bayleaf Dry 500gm,AMBIENT,PK Trading Ltd,Kg,,
ING001842,Spice Garlic Powder kg,AMBIENT,PK Trading Ltd,Kg,,
ING001846,Sauce Treacle Black 12 x 454gm,AMBIENT,PK Trading Ltd,Kg,,
ING001848,Potato Starch 32 x 450gm,AMBIENT,PK Trading Ltd,Kg,,
ING001901,Chickpea Kala Chana TRS 6x2kg,AMBIENT,PK Trading Ltd,Kg,,
ING001916,Lime Dried Powder,AMBIENT,PK Trading Ltd,Kg,,
ING001983,Spice Cardamom Black Whole,AMBIENT,PK Trading Ltd,Kg,,
ING001984,Spice Mace Whole 6 x 500gm,AMBIENT,PK Trading Ltd,Kg,,
ING001996,Smoking Liquor 12 x 118 kg,AMBIENT,PK Trading Ltd,Kg,,
ING002008,Spice Kokum 10 x 375gm Fudco Only,AMBIENT,PK Trading Ltd,Kg,,
ING002019,Spice Bayleaf Ground,AMBIENT,PK Trading Ltd,Kg,,
ING002039,Pasta Riso Orzo No76  24 x 500gm,AMBIENT,PK Trading Ltd,Kg,,
ING002064,Dried Shitake Mushroom sliced 6 x 500g,AMBIENT,PK Trading Ltd,Kg,,
ING002139,Maple Syrup 650ml,AMBIENT,PK Trading Ltd,Kg,,
ING002140,Coconut Milk Aroy D 6x2900ml JS,AMBIENT,PK Trading Ltd,Ltr,,
ING002141,Cashew Nut Butter 6ea x 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING002192,Nutmeg Whole 10 x 100gm,AMBIENT,PK Trading Ltd,Kg,,
ING002200,Herb Dried Basil 500gm,AMBIENT,PK Trading Ltd,Kg,,
ING002324,Paste Green Curry Gang Thai 6x1kg,AMBIENT,PK Trading Ltd,Kg,,
ING002338,Sauce Soy Kikkoman 1Ltr,AMBIENT,PK Trading Ltd,Kg,,
ING002380,Mushroom Powder 500gm,AMBIENT,PK Trading Ltd,Kg,,
ING002403,Coconut Chips Toasted 10kg,AMBIENT,PK Trading Ltd,Kg,,
ING002414,Quinoa Black 25kg,AMBIENT,PK Trading Ltd,Kg,,
ING002417,Apricot Diced Organic 12.5kg,AMBIENT,PK Trading Ltd,Kg,,
ING002420,Mustard Robust Wholegrain Tewksbury 2  x 1.1Kg,AMBIENT,PK Trading Ltd,Kg,,
ING002441,Vinegar Rice Yutaka Ltr,AMBIENT,PK Trading Ltd,Ltr,,
ING002477,Pasta Penne Brown Rice Gluten Free Doves Farm 8 x 500gm,AMBIENT,PK Trading Ltd,Kg,,
ING002481,Cornflour 25kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING002486,Spice Deggi Mirch MDH 24x500gm,AMBIENT,PK Trading Ltd,Kg,,
ING002487,Spice Kasoori Methi MDH 6x1kg,AMBIENT,PK Trading Ltd,Kg,,
ING002491,Spice Kitchen King MDH 10x100gm,AMBIENT,PK Trading Ltd,Kg,,
ING002538,Cereal Bar Oats and Honey Nature Valley 126ea x 42gm,AMBIENT,PK Trading Ltd,Each,,
ING002544,Nut Almond Chopped 10 x 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING002582,Herb Tarragon Dried kg,AMBIENT,PK Trading Ltd,Kg,,
ING000709,Vinegar Rice Wine Mitsukan 710ml,FRESH,PK Trading Ltd,Ltr,,
ING001812,Puree Galangal kg,FRESH,PK Trading Ltd,Kg,,
ING001083,Soy Beans Edamame (Shelled) 20x454gm FZ,FROZEN,PK Trading Ltd,Kg,,
ING000151,Szechuan Pepper Crushed,AMBIENT,PK Trading Ltd,Kg,,
ING000597,"Golden Syrup,7.26",AMBIENT,PK Trading Ltd,Kg,,
ING000621,Spice Amchur (Dried Mango Powder) (Cs 10x100GR),AMBIENT,PK Trading Ltd,Kg,,
ING000714,Nut Pistachio Peeled 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING000728,Juice Lime KTC 12x250ml,AMBIENT,PK Trading Ltd,Kg,,
ING000898,Tamarind Sweet Concentrate 6x425gm,AMBIENT,PK Trading Ltd,Kg,,
ING000972,Wine Shao Shing Rice  600 ml,AMBIENT,PK Trading Ltd,Kg,,
ING001138,Paste Curry Red Mae Ploy 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING001140,Sauce Thai Fish 725 ml,AMBIENT,PK Trading Ltd,Kg,,
ING001323,Milk Condensed 12 x 397ml,AMBIENT,PK Trading Ltd,Ltr,,
ING001335,Yellow Food Colouring liquid  500ML,AMBIENT,PK Trading Ltd,Ltr,,
ING001391,Lentil Masoor Brown Whole 1kg,AMBIENT,PK Trading Ltd,Kg,,
ING001394,Seeds Fenugreek,AMBIENT,PK Trading Ltd,Kg,,
ing001707,Water Kewda Jasmine 12 x 330ml,AMBIENT,PK Trading Ltd,Each,,
ING002037,Mushroom Black Fungus dried 1kg pack,AMBIENT,PK Trading Ltd,Kg,,
ING002038,Paste Miso Red 10kg,AMBIENT,PK Trading Ltd,Kg,,
ING002118,Mango Essence 500ml,AMBIENT,PK Trading Ltd,Ltr,,
ING002510,Onion Fried kg,AMBIENT,PK Trading Ltd,Kg,,
ING002562,Sauce Yellow Bean Crushed 12 x 470gm,AMBIENT,PK Trading Ltd,Kg,,
ING002588,Lotus Root Tinned,AMBIENT,PK Trading Ltd,Kg,,
ING002589,Sauce Oyster 6 x 2.27kg LKK,AMBIENT,PK Trading Ltd,Kg,,
ING002590,Sauce Chilli Garlic 12 x 368gm LKK,AMBIENT,PK Trading Ltd,Kg,,
ING002596,Sauce Char Sui 12 x 397gm LKK,AMBIENT,PK Trading Ltd,Kg,,
ING002597,Paste Jerk Seasoning Dunn River,AMBIENT,PK Trading Ltd,Kg,,
ING000765,Seeds Sunflower kg,AMBIENT,PK Trading Ltd,Kg,,
ING001034,Lentil Mung Bean Green Whole KTC 4x2kg,AMBIENT,PK Trading Ltd,Kg,,
ING001714,Spice Chana Masala MDH 10x100g,AMBIENT,PK Trading Ltd,Kg,,
ING000283,Citric Acid 300gm,AMBIENT,PK Trading Ltd,Kg,,
ING001679,Flour Rice Powder 5 kg,AMBIENT,PK Trading Ltd,Kg,,
ING000768,Zatar Mixed Gardenia 5 kg,FRESH,PK Trading Ltd,Kg,,
ING001332,Kewra Water 12x300ml,AMBIENT,PK Trading Ltd,Kg,,
ING000280,Baking Powder 850gm,AMBIENT,PK Trading Ltd,,,
ING001049,Sauce Tabasco 350ml,AMBIENT,PK Trading Ltd,,,
ING002062,Spice Caraway Ground KG,AMBIENT,PK Trading Ltd,,,
ING002646,"Glebe Farm Plain Flour, GF",AMBIENT,PK Trading Ltd,,,
ING000305,Tahini/ S H Yaman (1 x 3.6kG),AMBIENT,PK Trading Ltd,,,
ING001197,Chutney Tamarind (1KG),AMBIENT,PK Trading Ltd,,,
ING001330,Lentil Urid Dal White KTC 4x2kg,AMBIENT,Gandhi Oriental foods,,,
ING000726,Sauce Soy Light Amoy 2x1.9 ltr,aMBIENT,PK Trading Ltd,,,
ING001194,Lentil Daria Dal Roasted Split Gram (6x700GM),aMBIENT,PK Trading Ltd,,,
ING000466,Prune Pitted Large 1kg,AMBIENT,PK Trading Ltd,,,
ING000703,Spice Cajun Seasoning,AMBIENT,PK Trading Ltd,,,
ING001396,Spice Sambar Masala 10 x 100gm,AMBIENT,PK Trading Ltd,,,
ING000177,Oil Extended Life Rapeseed KTC (1x20L),AMBIENT,Quatra ,Ltr,,
ING002208,Oil Extended Life Rapeseed PROPER VAA (1x20L),AMBIENT,Quatra ,Ltr,,
PACK000533,Tamper Evident Round Container 120ml 460 c/s,PACK,R H Pachaging ,,,
PACK000522,5 Kg plastic Tub 25 c/s with lids,PACK,R H Pachaging ,,,
PACK000204,Tamper Evid Pots & Lids 240ml x 97mm 500 ea,pack,R H Pachaging ,,,
ING000668,Baked Smoky Chipotle BBQ Californian Almond 200x28gm,,REAL HANDFUL,,,
PACK000486,Label  Multipurpose GREEN VAA Outer 105mmx148mm 400Ea,PACK,Reflex Labels Ltd,Each,,
PACK000206,Label Blue flood coated 2 across 40mm x 60mm 3000 Ea,PACK,Reflex Labels Ltd,Each,,
PACK000218,Label Green blank 2 across - 40mm x 60mm (3000ea),PACK,Reflex Labels Ltd,Each,,
PACK000227,Label White Blank 2 across - 40mm x 60mm (3000 Ea),PACK,Reflex Labels Ltd,Each,,
PACK000228,Label Red Flood Coated 2 Across 40mmx60mm (3000ea),PACK,Reflex Labels Ltd,Each,,
PACK000488,Label  Multipurpose RED VAA Outer 105mmx148mm 400Ea,PACK,Reflex Labels Ltd,,,
ING002684,Poori 20g 3 in 1 Foil,FROZEN,Riya foods,,,
ING000694,Thyme 3mm FZN,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING000979,Coriander Chopped 6mm Fzn,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001436,Carrot Diced 10mm Fzn,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001897,Carrot Diced 20mm FRZ,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001804,Sage Chopped 3mm FZN 1kg,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001910,Dill chopped 3mm 1kg FRZ,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001743,Puree Garlic FRZ,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001745,Puree Ginger FRZ,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001747,Chilli Green Chopped FZN,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001871,Pepper Green Diced 20mm FRZ,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001890,Pepper Green Diced 10mm FRZ 1kg,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001895,Pepper Red Diced 20mm FRZ,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING001748,Lemon Grass Milled IQF 10kg,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING002115,Curry Leaves 4-6mm IQF 4kg,FROZEN,Rosemary & Thyme Ltd,Kg,,
ING002204,Lime Leaf Milled FRZ 10kg,FROZEN,Rosemary & Thyme Ltd,Kg,,
PACK000010,Frozen Cardboard box VT 500x345x225 C-Flute 200KT,PACK,Roydon,Each,,
PACK000231,Layer Pad cardboard separator 1000 Each 238188,PACK,Roydon,Each,,
PACK000317,Frozen Export Cardboard box VAA 480x325x210 Heavy Flute SC,PACK,Roydon,Each,,
PACK000482,Cardboard Box MC 1P 400x280x85 150K150T150BW,PACK,Roydon,Each,,
PACK000483,Cardboard Box MC 2P 334x258x192 200K200K,PACK,Roydon,Each,,
ING001408,Cod Fillets Skin Off Lion Delice 120gm x 40 ea,FRESH,Seahawk Marine Foods Ltd,Each,,
ING001084,Cod Diced 20mm 1KG,FROZEN,Seahawk Marine Foods Ltd,Kg,,
ING001540,Salmon Offcuts  without Skin 10KG,FROZEN,Seahawk Marine Foods Ltd,Kg,,
ING001734,Haddock smoked diced IQF 25mm 10 kg,FROZEN,Seahawk Marine Foods Ltd,Kg,,
ING002027,Cod Loin Portions 60-80gm 100ea,FROZEN,Seahawk Marine Foods Ltd,,,
PACK000312,VAA casserole dish,PACK,seko logistics,Each,,
ING002100,Poori Plain Mini 20gm Chilled Ea,FRESH,SNK Foods Ltd.,Each,,
ING000475,Chapatti 20 Each,FROZEN,SNK Foods Ltd.,,,
ING001468,Samosa Green Peas & Cashew Nut,FROZEN,SNK Foods Ltd.,Each,,
ING001470,Gulab Jamun 40gm (175ea/Tub),FROZEN,SNK Foods Ltd.,Each,,
ING001686,Cashew Croquette 40gm,FROZEN,SNK Foods Ltd.,Each,,
ING001691,Paratha Aloo 60gm,FROZEN,SNK Foods Ltd.,Each,,
ING002093,Potato Croquette SNK 40gm,FROZEN,SNK Foods Ltd.,Each,,
ING002560,Onion Bharji 45gm x 4ea,FROZEN,SNK Foods Ltd.,Each,,
